Group_id	Spider_classification	Utterance_id	Base_paraphrase	Portuguese_utterance	English_utterance	Domain_value_generic	English_SQL_statement	Portuguese_SQL_statement	Events_cases_classification	Projection_classification	Condition_classification	Condition_group_classification	Purpose_classification	Wh_classification	Ambiguity	Projection_aggregation	Groupby	IUEN	Subselect_condition	Subselect_having	Subselect_from	Subselect_with
2	medium	14	paraphrase	Quantas execuções de atividades foram atualizadas pelo recurso James e se referem ao 'fim da viagem'?	How many activity performances were updated by the James resource and refer to the 'end trip'?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	yes	aggregate	no	no	no	no	no	no
2	medium	15	paraphrase	Quantas vezes a atividade 'fim da viagem' foi executada pelo recurso James?	How many times was the 'end trip' activity performed by the James resource?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
2	medium	16	paraphrase	Quantas vezes a atividade nomeada 'fim da viagem' foi executada pelo recurso James?	How many times was the activity named 'end trip' performed by the James resource?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
2	medium	17	paraphrase	Quantos eventos relacionados à atividade 'fim da viagem' estão relacionados ao recurso James?	How many events related to the 'end trip' activity are linked to the James resource?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
2	medium	18	paraphrase	Quantos eventos relacionados à atividade 'fim da viagem' estão também relacionados ao recurso James?	How many events related to the 'end trip' activity are also linked to the James resource?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
2	medium	19	paraphrase	Informe o número de vezes que a atividade nomeada 'fim da viagem' foi executada pelo recurso James.	Report the number of times the activity named 'end trip' was performed by the James resource.	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	none	no	aggregate	no	no	no	no	no	no
2	medium	20	paraphrase	Informe o número de ocorrências da atividade 'fim da viagem' que estão associadas ao recurso James.	Report the number of occurrences of the 'end trip' activity associated with the James resource.	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	none	no	aggregate	no	no	no	no	no	no
2	medium	21	paraphrase	Quantas vezes o funcionário James foi o responsável por registrar a finalização de uma viagem?	How many times did the employee James register the finalization of a trip?	Domain	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
2	medium	22	paraphrase	Temos quantas atividades que foram atualizadas por James e que se referem ao final de viagem?	How many activities updated by James refer to the end of a trip?	Domain	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
																						
3	medium	23	base	Qual é a quantidade de eventos executados por cada um dos recursos?	What is the number of events performed by each of the resources?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	what	no	aggregate	yes	no	no	no	no	no
3	medium	24	paraphrase	Mostre a quantidade de eventos associados a cada recurso.	Show the number of events associated with each resource.	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	none	no	aggregate	yes	no	no	no	no	no
3	medium	25	paraphrase	A quantos eventos cada um dos recursos está associado?	How many events is each of the resources associated with?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	how	no	aggregate	yes	no	no	no	no	no
3	medium	26	paraphrase	Em quantos eventos cada um dos recursos atuou?	In how many events did each of the resources act?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	how	no	aggregate	yes	no	no	no	no	no
3	medium	27	paraphrase	Informe o número de eventos executados por cada um dos recursos.	Report the number of events performed by each of the resources.	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	none	no	aggregate	yes	no	no	no	no	no
3	medium	28	paraphrase	Quantas vezes cada um dos recursos aparece no log de eventos?	How many times does each of the resources appear in the event log?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	how	no	aggregate	yes	no	no	no	no	no
3	medium	29	paraphrase	Informe o número de vezes que cada um dos recursos aparece no log de eventos.	Report the number of times each of the resources appears in the event log.	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	none	no	aggregate	yes	no	no	no	no	no
3	medium	30	paraphrase	Informe em quantos eventos cada recurso está envolvido.	Report how many events each resource is involved in.	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	how	no	aggregate	yes	no	no	no	no	no
3	medium	31	paraphrase	Em quantas execuções de atividades cada recurso está envolvido?	How many activity performances is each resource involved in?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	how	yes	aggregate	yes	no	no	no	no	no
3	medium	32	paraphrase	Qual é a quantidade de execuções de atividades que cada recurso está envolvido?	What is the number of activity performances that each resource is involved in?	Generic	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	what	yes	aggregate	yes	no	no	no	no	no
3	medium	33	paraphrase	Quantifique a atuação de cada funcionário em termos de ações realizadas sobre as declarações de viagens.	Quantify the performance of each employee in terms of actions taken on travel declarations.	Domain	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	SELECT resource,COUNT(*) FROM event_log GROUP BY resource	events	resource;event	none	none	descriptive statistics - resource;conformance	none	yes	aggregate	yes	no	no	no	no	no
																						
4	easy	34	base	Quantos eventos foram executados pelo recurso 'Peter'?	How many events were performed by the 'Peter' resource?	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
4	easy	35	paraphrase	Quantas vezes o recurso 'Peter' executou uma atividade?	How many times has the 'Peter' resource performed an activity?	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	how	yes	aggregate	no	no	no	no	no	no
4	easy	36	paraphrase	Quantas vezes o funcionário 'Peter' executou uma atividade?	How many times has the employee 'Peter' performed an activity?	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	how	yes	aggregate	no	no	no	no	no	no
4	easy	37	paraphrase	Quantos eventos foram executados pelo funcionário 'Peter'?	How many events were run by the employee 'Peter'?	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
4	easy	38	paraphrase	Informe o número de vezes em que o recurso 'Peter' foi responsável por uma atividade.	Report the number of times the 'Peter' resource was responsible for an activity.	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	none	yes	aggregate	no	no	no	no	no	no
4	easy	39	paraphrase	Informe o número de vezes em que o funcionário 'Peter' foi responsável por uma atividade.	Report the number of times the employee 'Peter' was responsible for an activity.	Value	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	none	yes	aggregate	no	no	no	no	no	no
4	easy	40	paraphrase	Quantifique a atuação do funcionário Peter em termos de ações realizadas sobre as declarações de viagens.	Quantify the performance of the employee Peter in terms of actions taken on travel declarations.	Domain	SELECT count(*) FROM event_log WHERE resource = 'Peter'	SELECT count(*) FROM event_log WHERE resource = 'Peter'	events	event	resource	none	descriptive statistics - resource	none	yes	aggregate	no	no	no	no	no	no
																						
5	no_hardness	41	base	Mostre todos os casos que terminaram em março de 2018.	Show all cases that terminated in March 2018.	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	none	no	none	yes	no	no	no	no	no
5	no_hardness	42	paraphrase	Mostre todos os casos que finalizaram em março de 2018.	Show all cases that ended in March 2018.	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	none	no	none	yes	no	no	no	no	no
5	no_hardness	43	paraphrase	Informe o identificador dos casos que terminaram em março de 2018.	Report the identifier of cases that terminated in March 2018.	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	none	no	none	yes	no	no	no	no	no
5	no_hardness	44	paraphrase	Informe o identificador casos que finalizaram em março de 2018.	Report the identifier for cases that ended in March 2018.	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	none	no	none	yes	no	no	no	no	no
5	no_hardness	45	paraphrase	Informe o identificador de todos os casos cujo último evento ocorreu em março de 2018.	Report the identifier of all cases whose last event occurred in March 2018.	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	none	no	none	yes	no	no	no	no	no
5	no_hardness	46	paraphrase	Quais casos terminaram em março de 2018?	Which cases terminated in March 2018?	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	which	no	none	yes	no	no	no	no	no
5	no_hardness	47	paraphrase	Quais casos finalizaram em março de 2018?	Which cases ended in March 2018?	Value	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	which	no	none	yes	no	no	no	no	no
5	no_hardness	48	paraphrase	Quais declarações finalizaram em março de 2018?	Which declarations ended in March 2018?	Domain	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM event_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	cases	case	none	having	perspective - temporal	which	no	none	yes	no	no	no	no	no
																						
6	medium	49	base	Mostre todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Show all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	50	paraphrase	Mostre os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Show the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	51	paraphrase	Mostre todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi realizada pelo recurso Douglas.	Show all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was carried out by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	52	paraphrase	Mostre os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Show the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was carried out by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	53	paraphrase	Informe os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Report the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	54	paraphrase	Recupere os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Retrieve the identifiers of cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by Douglas 'resource'.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	55	paraphrase	Liste os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	List the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	56	paraphrase	Liste todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	List all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	57	paraphrase	Informe todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Report all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	58	paraphrase	Recupere todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Retrieve all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
6	medium	59	paraphrase	Em quais casos a atividade 'declaração rejeitada pelo pré-aprovador' não foi executada pelo recurso Douglas?	In which cases was the 'declaration rejected by pre-approver' activity not performed by the Douglas resource?	Value	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	which	no	none	no	no	no	no	no	no
6	medium	60	paraphrase	Quais declarações foram rejeitadas por um pré-aprovador diferente do Douglas?	Which declarations were rejected by a pre-approver other than Douglas?	Domain	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	which	no	none	no	no	no	no	no	no
6	medium	61	paraphrase	Mostre todas as declarações rejeitas pelo pré-aprovador que não seja o Douglas.	Show all declarations rejected by the pre-approver other than Douglas.	Domain	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM event_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	cases	case	activity;resource	none	perspective - control flow;perspective - resource	none	no	none	no	no	no	no	no	no
																						
7	easy	62	base	Quantos recursos diferente existem no log de eventos?	How many different resources are there in the event log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
7	easy	63	paraphrase	Quantos recursos distintos existem no log de eventos?	How many distinct resources are there in the event log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
7	easy	64	paraphrase	Quantas recursos existem no log de eventos?	How many resources are there in the event log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
7	easy	65	paraphrase	Quantas pessoas diferentes executaram atividades?	How many different people performed activities?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	yes	aggregate	no	no	no	no	no	no
7	easy	66	paraphrase	Quantos recursos diferentes existem no log?	How many different resources are there in the log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
7	easy	67	paraphrase	Quantas pessoas diferentes aparecem no log de eventos?	How many different people appear in the event log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
7	easy	68	paraphrase	Informe quantos recursos diferentes executaram atividades.	Report how many different resources performed activities.	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	yes	aggregate	no	no	no	no	no	no
7	easy	69	paraphrase	Quantos recursos diferentes aparecem no log de eventos?	How many different resources appear in the event log?	Generic	SELECT COUNT(DISTINCT resource) FROM event_log	SELECT COUNT(DISTINCT resource) FROM event_log	events	event	none	none	descriptive statistics - resource	how	no	aggregate	no	no	no	no	no	no
